[2016-02-24 11:32:12] WeeChat 1.4 (skompilowano Feb  2 2016 09:40:40)
[2016-02-24 11:32:12] Wczytuję plik konfiguracyjny sec.conf
[2016-02-24 11:32:12] Wczytuję plik konfiguracyjny weechat.conf
[2016-02-24 11:32:12] Wczytuję plik konfiguracyjny plugins.conf
[2016-02-24 11:32:12] Wczytuję plik konfiguracyjny charset.conf
[2016-02-24 11:32:12] Wczytuję plik konfiguracyjny logger.conf
[2016-02-24 11:32:12] Wczytuję plik konfiguracyjny exec.conf
[2016-02-24 11:32:12] Wczytuję plik konfiguracyjny trigger.conf
[2016-02-24 11:32:12] Wczytuję plik konfiguracyjny aspell.conf
[2016-02-24 11:32:12] Wczytuję plik konfiguracyjny alias.conf
[2016-02-24 11:32:12] Wczytuję plik konfiguracyjny xfer.conf
[2016-02-24 11:32:12] Wczytuję plik konfiguracyjny irc.conf
[2016-02-24 11:32:12] Wczytuję plik konfiguracyjny relay.conf
[2016-02-24 11:32:12] Wczytuję plik konfiguracyjny theme.conf
[2016-02-24 11:32:13] Wczytuję plik konfiguracyjny buffers.conf
[2016-02-24 11:32:13] Wczytuję plik konfiguracyjny iset.conf
[2016-02-24 11:32:13] Wczytuję plik konfiguracyjny script.conf
[2016-02-24 11:32:13] irc: łączę z serwerem celber.pl/40134...
[2016-02-24 11:32:13] irc: łączę z serwerem celber.pl/40134...
[2016-02-24 11:32:13] irc: łączę z serwerem celber.pl/40134...
[2016-02-24 11:33:23] irc: łączę z serwerem celber.pl/40134...
[2016-02-24 11:33:23] irc: łączę z serwerem celber.pl/40134...
[2016-02-24 11:33:23] irc: łączę z serwerem celber.pl/40134...
[2016-02-24 11:34:43] irc: łączę z serwerem celber.pl/40134...
[2016-02-24 11:34:43] irc: łączę z serwerem celber.pl/40134...
[2016-02-24 11:34:43] irc: łączę z serwerem celber.pl/40134...
[2016-02-24 11:36:23] irc: łączę z serwerem celber.pl/40134...
[2016-02-24 11:36:23] irc: łączę z serwerem celber.pl/40134...
[2016-02-24 11:36:23] irc: łączę z serwerem celber.pl/40134...
[2016-02-24 11:38:43] irc: łączę z serwerem celber.pl/40134...
[2016-02-24 11:38:43] irc: łączę z serwerem celber.pl/40134...
[2016-02-24 11:38:43] irc: łączę z serwerem celber.pl/40134...
[2016-02-24 11:42:23] irc: łączę z serwerem celber.pl/40134...
[2016-02-24 11:42:23] irc: łączę z serwerem celber.pl/40134...
[2016-02-24 11:42:23] irc: łączę z serwerem celber.pl/40134...
[2016-02-24 11:59:43] irc: łączę z serwerem celber.pl/40134...
[2016-02-24 11:59:43] irc: łączę z serwerem celber.pl/40134...
[2016-02-24 11:59:43] irc: łączę z serwerem celber.pl/40134...
[2016-02-24 12:09:43] irc: łączę z serwerem celber.pl/40134...
[2016-02-24 12:09:43] irc: łączę z serwerem celber.pl/40134...
[2016-02-24 12:09:43] irc: łączę z serwerem celber.pl/40134...
[2016-02-24 13:01:44] irc: łączę z serwerem celber.pl/40134...
[2016-02-24 13:01:44] irc: łączę z serwerem celber.pl/40134...
[2016-02-24 13:01:44] irc: łączę z serwerem celber.pl/40134...
